ino,instituteName,score_2015,score_2016
1,"Delhi Technological University, Delhi",1720,1570
2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",,1590
3,Dr. S. S. Bhatnagar University Institute of Chemical Engineering & Technology Chandigarh,,1780
4,"Indian Institute of Information Technology, Allahabad",1470,1600
5,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",1640,1660
6,"Indraprastha Institute of Information Technology, Delhi",1940,1700
7,Malaviya National Institute of Technology Jaipur,1460,1480
8,"Maulana Azad National Institute of Technology, Bhopal",1470,1500
9,Motilal Nehru National Institute of Technology Allahabad,1450,1500
10,National Institute of Technology Agartala,,1550
11,National Institute of Technology Calicut,1740,1650
12,National Institute of Technology Delhi,1650,1780
13,National Institute of Technology Durgapur,1490,1520
14,National Institute of Technology Goa,1730,1660
15,National Institute of Technology Hamirpur,1500,1850
16,"National Institute of Technology Karnataka, Surathkal",1600,1470
17,National Institute of Technology Patna,1730,1510
18,National Institute of Technology Puducherry,1600,1490
19,National Institute of Technology Raipur,1670,1650
20,"National Institute of Technology, Jamshedpur",1460,1730
21,"National Institute of Technology, Kurukshetra",1440,1470
22,"National Institute of Technology, Rourkela",1490,1550
23,"National Institute of Technology, Silchar",,1830
24,"National Institute of Technology, Srinagar",1520,1590
25,"National Institute of Technology, Tiruchirappalli",1500,1520
26,"National Institute of Technology, Warangal, Telangana",1630,1560
27,Netaji Subhas Institute of Technology,,1990
28,Pandit Deendayal Petroleum University (PDPU),,1460
29,Punjab Engineering College (PEC) Chandigarh,1510,1560
30,"Sardar Vallabhbhai National Institute of Technology, Surat",1450,1450
31,"School of Planning & Architecture, Bhopal",1490,1500
32,"School of Planning & Architecture, New Delhi",1690,2010
33,School of Planning & Architecture: Vijayawada,1730,1500
34,"University Institute of Engineering and Technology, Panjab University",,1710
35,"Visvesvaraya National Institute of Technology, Nagpur",1460,1590
